<ticker>,<MSSV>,<exchange>,<PTTKHT>,<LTTQ>,<ATBMTT>,<MMT>,<PTTKTT>,<HDH>,<LTM>
141,3005020115,T,7.8,5.5,5.7,7,6.3,6.6,0
142,3005020116,T,6.7,8,6.2,8,7,6.9,0
143,3005020118,T,6.4,6.7,6.4,7.1,7.5,6.5,0
144,3005020119,T,6.6,6.2,6.2,6.2,6.4,6.9,0
145,3005020123,T,6,6.5,5.1,7.3,6.3,6.9,0
146,3005020124,T,5.1,5.4,6.2,8.1,6.4,7.2,0
147,3005020125,T,7.2,7.7,5.7,6.9,7.5,7.5,0
148,3005020128,T,7.8,4.9,6.5,7.3,6.3,6.3,0
149,3005020129,T,6.5,7.2,6.5,7.1,8,6.9,0
150,3005020132,T,4.8,1,5.7,5.6,6.5,6,0
151,3005020133,T,7,5.9,5,7.4,6,5.6,0
152,3005020134,T,6.5,7.9,6.7,7.8,8.2,8,0
153,3005020135,T,6.3,5.2,5.7,7.2,6.1,6.4,0
154,3005020136,T,5.3,5.2,6.5,6.8,6.3,6.5,0
155,3005020137,T,6.8,5.4,5.5,6.8,5.7,5.6,0
156,3005020138,T,8.5,5.4,7.2,5.6,7.3,7,0
157,3005020139,T,6.4,6.8,5.9,7.1,7.5,8.2,0
158,3005020142,T,5.8,5.3,6,4.4,6.5,6.6,0
